DT,Datetime,Month,Year,Timezone,City_Name,Latitude,Longitude,Temp,Feels_like,Temp_Min,Temp_Max,Pressure,Humidity,Wind_Speed,Wind_Deg,Wind_Gust,Clouds_all,Weather_Id,Weaather_main,Weather_Description,Weather_icon
1675238400,2023-02-01 03:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,11.62,10.25,11.62,11.62,1019,54,2.44,12,2.44,0,800,Clear,clear sky,01n
1675242000,2023-02-01 04:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,11.06,9.79,11.06,11.06,1018,60,2.62,14,2.62,0,800,Clear,clear sky,01n
1675245600,2023-02-01 05:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,10.56,9.39,10.56,10.56,1018,66,2.74,15,2.74,0,800,Clear,clear sky,01n
1675249200,2023-02-01 06:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,10.09,8.98,10.09,10.09,1019,70,2.4,11,2.4,0,800,Clear,clear sky,01n
1675252800,2023-02-01 07:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,4.55,2.49,4.55,4.55,1020,71,2.36,15,2.36,0,800,Clear,clear sky,01n
1675256400,2023-02-01 08:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,9.35,8.26,9.35,9.35,1021,69,2.22,15,2.22,0,800,Clear,clear sky,01n
1675260000,2023-02-01 09:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,4.55,3.09,4.55,4.55,1021,62,1.78,15,1.78,0,800,Clear,clear sky,01d
1675263600,2023-02-01 10:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,8.55,8.55,8.55,8.55,1020,49,1.31,40,1.31,0,800,Clear,clear sky,01d
1675267200,2023-02-01 11:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,13.55,11.93,13.55,13.55,1020,37,1.59,127,1.59,0,800,Clear,clear sky,01d
1675270800,2023-02-01 12:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,16.55,15.02,16.55,16.55,1019,29,2.97,154,2.97,0,800,Clear,clear sky,01d
1675274400,2023-02-01 13:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,19.55,18.21,19.55,19.55,1017,25,3.94,160,3.94,0,800,Clear,clear sky,01d
1675278000,2023-02-01 14:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,20.55,19.24,20.55,20.55,1015,22,4.77,168,4.77,0,800,Clear,clear sky,01d
1675281600,2023-02-01 15:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,21.55,20.31,21.55,21.55,1014,21,5.28,178,5.28,0,800,Clear,clear sky,01d
1675285200,2023-02-01 16:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,23.55,22.51,23.55,23.55,1013,21,5.8,186,5.8,1,800,Clear,clear sky,01d
1675288800,2023-02-01 17:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,23.55,22.56,23.55,23.55,1013,23,5.78,193,5.78,1,800,Clear,clear sky,01d
1675292400,2023-02-01 18:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,22.55,21.51,22.55,22.55,1014,25,5.34,194,5.34,1,800,Clear,clear sky,01d
1675296000,2023-02-01 19:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,19.55,18.34,19.55,19.55,1015,30,4.22,199,4.22,1,800,Clear,clear sky,01d
1675299600,2023-02-01 20:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,16.55,15.23,16.55,16.55,1016,37,2.55,211,2.55,0,800,Clear,clear sky,01n
1675303200,2023-02-01 21:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,14.55,13.11,14.55,14.55,1018,40,1.08,191,1.08,0,800,Clear,clear sky,01n
1675306800,2023-02-01 22:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,13.99,12.59,13.99,13.99,1019,44,1.15,102,1.15,0,800,Clear,clear sky,01n
1675310400,2023-02-01 23:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,13.23,11.86,13.23,13.23,1020,48,1.39,84,1.39,0,800,Clear,clear sky,01n
1675314000,2023-02-02 00:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,12.67,11.38,12.67,12.67,1020,53,1.37,70,1.37,0,800,Clear,clear sky,01n
1675317600,2023-02-02 01:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,12.29,11.04,12.29,12.29,1020,56,1.16,56,1.16,0,800,Clear,clear sky,01n
1675321200,2023-02-02 02:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,12.02,10.77,12.02,12.02,1020,57,1.39,40,1.39,0,800,Clear,clear sky,01n
1675324800,2023-02-02 03:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,11.65,10.39,11.65,11.65,1019,58,1.43,35,1.43,0,800,Clear,clear sky,01n
1675328400,2023-02-02 04:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,11.28,10.0,11.28,11.28,1019,59,1.43,21,1.43,0,800,Clear,clear sky,01n
1675332000,2023-02-02 05:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,10.9,9.59,10.9,10.9,1019,59,1.46,11,1.46,0,800,Clear,clear sky,01n
1675335600,2023-02-02 06:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,10.57,9.22,10.57,10.57,1019,59,1.55,7,1.55,0,800,Clear,clear sky,01n
1675339200,2023-02-02 07:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,10.25,8.9,10.25,10.25,1020,60,1.36,10,1.36,1,800,Clear,clear sky,01n
1675342800,2023-02-02 08:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,3.55,2.5,3.55,3.55,1021,61,1.36,8,1.36,5,800,Clear,clear sky,01n
1675346400,2023-02-02 09:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,6.55,6.55,6.55,6.55,1021,56,1.29,2,1.29,4,800,Clear,clear sky,01d
1675350000,2023-02-02 10:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,10.55,8.89,10.55,10.55,1021,47,0.65,355,0.65,4,800,Clear,clear sky,01d
1675353600,2023-02-02 11:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,14.55,13.13,14.55,14.55,1020,41,0.38,196,0.38,5,800,Clear,clear sky,01d
1675357200,2023-02-02 12:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,18.55,17.37,18.55,18.55,1019,35,1.14,203,1.14,5,800,Clear,clear sky,01d
1675360800,2023-02-02 13:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,21.55,20.54,21.55,21.55,1018,30,2.46,192,2.46,5,800,Clear,clear sky,01d
1675364400,2023-02-02 14:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,24.55,23.74,24.55,24.55,1016,26,3.29,189,3.29,0,800,Clear,clear sky,01d
1675368000,2023-02-02 15:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,24.55,23.69,24.55,24.55,1014,24,3.6,185,3.6,0,800,Clear,clear sky,01d
1675371600,2023-02-02 16:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,25.55,24.76,25.55,25.55,1013,23,3.83,184,3.83,0,800,Clear,clear sky,01d
1675375200,2023-02-02 17:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,24.55,23.69,24.55,24.55,1013,24,4.52,187,4.52,0,800,Clear,clear sky,01d
1675378800,2023-02-02 18:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,23.55,22.64,23.55,23.55,1013,26,4.89,191,4.89,0,800,Clear,clear sky,01d
1675382400,2023-02-02 19:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,20.55,19.52,20.55,20.55,1014,33,4.4,196,4.4,0,800,Clear,clear sky,01d
1675386000,2023-02-02 20:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,17.55,16.41,17.55,17.55,1016,40,2.56,209,2.56,0,800,Clear,clear sky,01n
1675389600,2023-02-02 21:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,14.55,13.21,14.55,14.55,1017,44,0.78,241,0.78,0,800,Clear,clear sky,01n
1675393200,2023-02-02 22:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,15.36,14.18,15.36,15.36,1018,47,1.23,45,1.23,0,800,Clear,clear sky,01n
1675396800,2023-02-02 23:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,14.72,13.53,14.72,14.72,1019,49,1.97,32,1.97,0,800,Clear,clear sky,01n
1675400400,2023-02-03 00:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,14.02,12.84,14.02,14.02,1020,52,2.17,18,2.17,1,800,Clear,clear sky,01n
1675404000,2023-02-03 01:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,13.3,12.1,13.3,13.3,1020,54,2.67,14,2.67,0,800,Clear,clear sky,01n
1675407600,2023-02-03 02:00:00 -0600 UTC,Feb,2023,-21600,Puebla,19.03793,-98.20346,12.51,11.33,12.51,12.51,1021,58,2.99,16,2.99,0,800,Clear,clear sky,01n
